species,time,detection_prob,species_prob
Nyctalus leisleri,0.0035,0.896,0.78
Nyctalus leisleri,0.1715,0.907,0.82
Nyctalus leisleri,0.3335,0.921,0.835
Nyctalus leisleri,0.5005,0.869,0.819
Nyctalus leisleri,0.6685,0.876,0.744
Nyctalus leisleri,0.8265,0.886,0.811
Nyctalus leisleri,0.9915,0.898,0.821
Nyctalus leisleri,1.1615,0.899,0.828
Nyctalus leisleri,1.3315,0.871,0.822
Nyctalus leisleri,1.4725,0.859,0.787
Nyctalus leisleri,1.6075,0.862,0.776
Nyctalus leisleri,1.7365,0.862,0.797
Nyctalus leisleri,1.8735,0.841,0.787
Nyctalus leisleri,1.9725,0.69,0.567
Plecotus austriacus,2.0615,0.603,0.292
Plecotus austriacus,2.1335,0.512,0.395
Myotis nattereri,2.1955,0.485,0.287
Nyctalus leisleri,2.2455,0.383,0.258
Plecotus austriacus,2.2885,0.36,0.238
Nyctalus leisleri,2.6265,0.734,0.675
Nyctalus leisleri,2.9055,0.857,0.777
Nyctalus leisleri,3.1855,0.838,0.777
Nyctalus leisleri,3.3385,0.856,0.778
Nyctalus leisleri,3.4995,0.888,0.814
Nyctalus leisleri,3.6705,0.844,0.795
Nyctalus leisleri,3.8455,0.87,0.796
Nyctalus leisleri,4.0165,0.858,0.78
Nyctalus leisleri,4.1845,0.876,0.816
Nyctalus leisleri,4.3475,0.864,0.795
Nyctalus leisleri,4.5175,0.881,0.794
Nyctalus leisleri,4.6915,0.809,0.709
Nyctalus leisleri,4.8595,0.866,0.769
Nyctalus leisleri,5.0265,0.825,0.732
Nyctalus leisleri,5.1915,0.858,0.791
Nyctalus leisleri,5.3625,0.708,0.627
Nyctalus leisleri,5.5285,0.825,0.73
Nyctalus leisleri,5.6925,0.77,0.666
Nyctalus leisleri,5.8595,0.838,0.773
Nyctalus leisleri,6.1695,0.81,0.695
Nyctalus leisleri,6.3275,0.545,0.372
Nyctalus leisleri,6.4695,0.771,0.623
Nyctalus leisleri,6.6295,0.79,0.719
Nyctalus leisleri,6.9475,0.772,0.667
Nyctalus leisleri,7.1085,0.644,0.544
Nyctalus leisleri,7.1565,0.594,0.488
Nyctalus leisleri,7.2515,0.707,0.544
Nyctalus leisleri,7.2985,0.668,0.555
Nyctalus leisleri,7.4385,0.576,0.333
Nyctalus leisleri,7.5835,0.741,0.64
Nyctalus leisleri,7.7735,0.689,0.509
Nyctalus leisleri,8.0225,0.495,0.309
Nyctalus leisleri,8.0535,0.405,0.239
Nyctalus leisleri,8.2875,0.532,0.379
Nyctalus leisleri,8.4325,0.701,0.573
Nyctalus leisleri,8.5875,0.677,0.578
Nyctalus leisleri,8.7335,0.782,0.679
Nyctalus leisleri,9.0335,0.873,0.815
Nyctalus leisleri,9.2035,0.824,0.672
Nyctalus leisleri,9.3585,0.867,0.789
Nyctalus leisleri,9.5165,0.874,0.763
Nyctalus leisleri,9.6755,0.902,0.811
Nyctalus leisleri,9.8365,0.864,0.8
Nyctalus leisleri,9.9905,0.891,0.831
Nyctalus leisleri,10.1505,0.881,0.799
Nyctalus leisleri,10.2985,0.879,0.787
Nyctalus leisleri,10.4635,0.891,0.822
Nyctalus leisleri,10.6305,0.87,0.784
Nyctalus leisleri,10.7995,0.889,0.837
Nyctalus leisleri,10.9355,0.866,0.772
Nyctalus leisleri,11.0665,0.89,0.801
Nyctalus leisleri,11.2155,0.909,0.827
Nyctalus leisleri,11.3655,0.9,0.799
Nyctalus leisleri,11.5135,0.91,0.824
Nyctalus leisleri,11.6545,0.879,0.833
Nyctalus leisleri,11.7815,0.899,0.773
Nyctalus leisleri,11.9275,0.889,0.801
Nyctalus leisleri,12.0515,0.906,0.773
Nyctalus leisleri,12.2045,0.888,0.837
Nyctalus leisleri,12.3615,0.911,0.835
Nyctalus leisleri,12.5205,0.873,0.791
Nyctalus leisleri,12.6885,0.89,0.841
Nyctalus leisleri,12.8565,0.905,0.791
Nyctalus leisleri,13.0345,0.892,0.842
Nyctalus leisleri,13.1975,0.89,0.807
Nyctalus leisleri,13.3575,0.883,0.755
Pipistrellus pygmaeus,13.3615,0.367,0.364
Nyctalus leisleri,13.5035,0.866,0.78
Nyctalus leisleri,13.6455,0.889,0.793
Nyctalus leisleri,13.7765,0.825,0.771
Nyctalus leisleri,13.9105,0.876,0.805
Nyctalus leisleri,14.0485,0.793,0.736
Nyctalus leisleri,14.1835,0.859,0.766
Nyctalus leisleri,14.3165,0.629,0.559
Nyctalus leisleri,14.4415,0.801,0.733
Nyctalus leisleri,14.5685,0.73,0.665
Nyctalus leisleri,14.8425,0.719,0.617
Nyctalus leisleri,14.9665,0.678,0.623
Nyctalus leisleri,15.2055,0.67,0.555
Nyctalus leisleri,15.2955,0.593,0.309
Nyctalus leisleri,15.3705,0.632,0.338
Eptesicus serotinus,15.4605,0.651,0.313
Nyctalus leisleri,15.5655,0.805,0.658
Nyctalus leisleri,15.6895,0.785,0.623
Nyctalus leisleri,15.8395,0.82,0.744
Nyctalus leisleri,16.0215,0.817,0.75
Nyctalus leisleri,16.2075,0.809,0.746
Nyctalus leisleri,16.6585,0.812,0.72
Nyctalus leisleri,16.8515,0.847,0.776
Nyctalus leisleri,17.1695,0.855,0.777
Nyctalus leisleri,17.4175,0.859,0.785
Nyctalus leisleri,17.6215,0.856,0.767
Nyctalus leisleri,17.7785,0.844,0.764
Nyctalus leisleri,17.9265,0.866,0.801
Nyctalus leisleri,18.0725,0.848,0.758
Nyctalus leisleri,18.3835,0.838,0.764
Nyctalus leisleri,18.5495,0.806,0.737
Nyctalus leisleri,18.7205,0.83,0.732
Nyctalus leisleri,18.8895,0.714,0.595
Nyctalus leisleri,19.0545,0.846,0.749
Nyctalus leisleri,19.2195,0.777,0.681
Nyctalus leisleri,19.3825,0.817,0.705
Nyctalus leisleri,19.5435,0.761,0.634
Nyctalus leisleri,19.7145,0.835,0.749
Nyctalus leisleri,19.8835,0.581,0.39
Nyctalus leisleri,20.0425,0.797,0.667
Nyctalus leisleri,20.1625,0.816,0.719
Nyctalus leisleri,20.2735,0.62,0.467
Nyctalus leisleri,20.3765,0.749,0.659
Nyctalus leisleri,20.4745,0.555,0.371
Nyctalus leisleri,20.6005,0.753,0.634
Nyctalus leisleri,20.7365,0.767,0.642
Nyctalus leisleri,20.8765,0.428,0.265
Nyctalus leisleri,21.0195,0.785,0.682
Nyctalus leisleri,21.2125,0.49,0.334
Nyctalus leisleri,21.4375,0.413,0.281
Nyctalus leisleri,21.4805,0.67,0.516
Nyctalus leisleri,21.5915,0.321,0.237
Nyctalus leisleri,21.6305,0.645,0.537
Nyctalus leisleri,21.7465,0.661,0.484
Nyctalus leisleri,21.7825,0.757,0.647
